StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,Female,Caucasian,Some College,19.83372281,7,Yes,Moderate,No,No,Yes,No,2.929195592,2
1002,18,Male,Caucasian,High School,15.40875606,0,No,Low,No,No,No,No,3.042914833,1
1003,15,Male,Asian,Bachelor's,4.210569769,26,No,Moderate,No,No,No,No,0.112602254,4
1004,17,Female,Caucasian,Bachelor's,10.02882947,14,No,High,Yes,No,No,No,2.05421814,3
1005,17,Female,Caucasian,Some College,4.672495273,17,Yes,High,No,No,No,No,1.288061182,4
1006,18,Male,Caucasian,High School,8.191218545,0,No,Low,Yes,No,No,No,3.084183614,1
1007,15,Male,African American,High School,15.60168047,10,No,High,No,Yes,No,No,2.748237415,2
1008,15,Female,African American,Higher,15.42449631,22,Yes,Low,Yes,No,No,No,1.360142712,4
1009,17,Male,Caucasian,None,4.562007558,1,No,Moderate,No,Yes,No,Yes,2.89681919,2
1010,16,Female,Caucasian,High School,18.44446636,0,No,High,Yes,No,No,No,3.57347421,0
1011,17,Male,Caucasian,High School,11.85136366,11,No,Low,No,No,No,No,2.147171625,3
1012,17,Male,Caucasian,High School,7.598485819,15,No,Moderate,No,No,No,Yes,1.559594519,4
1013,17,Male,African American,High School,10.03871162,21,No,High,Yes,No,No,No,1.520077815,4
1014,17,Male,African American,Some College,12.10142507,21,No,Very High,No,Yes,No,No,1.751580958,4
1015,18,Female,Caucasian,High School,11.19781064,9,Yes,Moderate,No,No,No,No,2.396788117,3
1016,15,Male,Caucasian,Some College,9.728100711,17,Yes,None,No,Yes,No,No,1.341520717,4
1017,18,Male,Other,High School,10.09865608,14,No,Moderate,Yes,Yes,No,No,2.232175278,3
1018,18,Female,Caucasian,None,3.528238209,16,Yes,Moderate,No,No,No,No,1.384404176,4
1019,18,Male,African American,Bachelor's,16.25465809,29,No,Moderate,Yes,No,No,Yes,0.469553323,4
1020,17,Male,Caucasian,High School,10.8352064,9,No,Moderate,No,No,Yes,No,2.395784095,3
1021,16,Female,Caucasian,Bachelor's,2.621597234,2,No,High,No,No,No,Yes,2.7784113,2
1022,15,Male,Caucasian,Some College,15.32314203,25,No,Low,Yes,No,No,No,0.346894037,4
1023,16,Female,African American,None,18.64887957,29,Yes,Low,No,No,No,No,0.312546231,4
1024,18,Female,Other,Higher,18.94613798,20,No,Moderate,Yes,No,No,No,1.770131877,4
1025,18,Female,Caucasian,High School,7.380354648,15,No,Moderate,No,No,No,No,1.505155622,4
1026,16,Female,Caucasian,Bachelor's,2.710337471,5,No,Very High,No,No,Yes,No,2.977851918,2
1027,16,Male,Caucasian,High School,10.36799253,2,No,Moderate,No,Yes,No,No,2.948717672,2
1028,16,Female,Caucasian,Bachelor's,2.252184587,8,No,High,No,No,Yes,No,2.14520472,3
1029,18,Male,Caucasian,None,18.67974837,10,No,High,Yes,No,No,No,2.854803929,2
1030,18,Male,Caucasian,Some College,3.671592547,20,No,High,Yes,No,No,No,1.519441726,4
1031,15,Male,Asian,Some College,5.055317199,12,Yes,None,No,Yes,No,No,1.72712031,4
1032,15,Male,Caucasian,Bachelor's,8.132730538,17,No,Very High,No,No,No,Yes,1.847535471,4
1033,18,Male,Caucasian,Bachelor's,7.663289371,25,No,Low,No,Yes,No,No,0.384616973,4
1034,16,Male,Other,Bachelor's,15.89325785,21,No,None,Yes,Yes,No,No,0.949406098,4
1035,16,Male,Caucasian,Bachelor's,9.126336411,27,Yes,Moderate,Yes,Yes,No,No,1.140959418,4
1036,15,Male,Other,High School,3.4153652,23,No,Low,No,No,No,No,0.26147226,4
1037,18,Male,Caucasian,High School,5.34419791,26,Yes,Low,No,No,No,No,0.218284857,4
1038,15,Male,Asian,High School,10.1822677,21,Yes,Low,No,Yes,No,No,1.067763551,4
1039,15,Female,African American,High School,2.949078349,3,Yes,Low,Yes,Yes,No,No,3.018905858,1
1040,17,Female,Asian,High School,12.23311351,21,Yes,High,Yes,Yes,No,No,1.526867832,4
1041,17,Female,Other,Some College,11.31494613,23,Yes,Low,No,No,No,No,1.0582874,4
1042,17,Male,Caucasian,High School,14.29404633,7,No,Moderate,No,No,No,No,2.625128098,2
1043,16,Female,Other,Some College,18.75409231,12,Yes,Very High,No,No,No,No,2.808754822,2
1044,18,Female,Caucasian,High School,18.24509122,9,No,Moderate,No,Yes,No,No,2.888891669,2
1045,18,Female,Caucasian,High School,18.92151236,1,Yes,High,Yes,Yes,No,No,4,0
1046,18,Male,Caucasian,Some College,4.89431194,7,No,Very High,No,No,Yes,No,2.515300272,2
1047,18,Male,African American,Some College,2.631306133,5,No,Low,Yes,No,No,No,2.56376543,2
1048,17,Male,Caucasian,Some College,6.04553401,15,No,Moderate,No,No,No,No,1.703611803,4
1049,16,Male,African American,Some College,17.90170346,17,No,High,No,No,Yes,No,2.099885157,3
1050,16,Female,African American,High School,19.44106949,16,No,Very High,Yes,No,No,No,2.461046963,3
1051,17,Female,Asian,Some College,17.18649902,5,No,High,No,No,No,No,2.935477192,2
1052,16,Female,Asian,None,2.200354423,12,Yes,Low,Yes,No,Yes,No,1.986378059,4
1053,17,Female,Caucasian,High School,18.94855996,22,No,Very High,No,No,Yes,No,1.571544191,4
1054,18,Male,Caucasian,Some College,8.467160547,13,No,Low,No,Yes,No,No,1.66431069,4
1055,17,Male,Caucasian,None,0.186205815,29,Yes,Moderate,Yes,Yes,No,No,0.756259167,4
1056,18,Male,Caucasian,High School,8.847874815,25,No,Moderate,No,Yes,No,No,0.802769539,4
1057,18,Female,Caucasian,Higher,0.921383394,20,No,Moderate,No,Yes,Yes,No,1.342387178,4
1058,15,Male,Caucasian,Higher,10.87755842,29,No,High,Yes,No,No,No,0.286571288,4
1059,17,Male,Caucasian,High School,6.771080549,9,Yes,High,No,Yes,No,No,2.613838694,2
1060,15,Female,Other,None,9.468698672,23,No,High,No,Yes,No,No,0.929012555,4
1061,17,Female,African American,High School,12.26340721,10,No,None,Yes,No,Yes,No,1.892758696,4
1062,17,Male,Caucasian,High School,17.37602192,12,No,Moderate,No,No,Yes,No,2.331261549,3
1063,15,Male,African American,Bachelor's,13.23803153,11,No,High,No,Yes,No,No,2.234238473,3
1064,15,Male,Caucasian,High School,8.68097737,8,No,Moderate,No,Yes,No,No,2.385828219,3
1065,17,Male,Caucasian,Some College,16.38855707,3,Yes,Very High,No,No,No,No,3.347356744,1
1066,16,Male,African American,High School,18.11164275,6,Yes,High,Yes,No,No,No,3.261855307,1
1067,18,Male,Caucasian,Higher,2.395199329,23,No,High,No,Yes,No,No,1.039623879,4
1068,15,Female,Caucasian,High School,10.63865955,28,No,None,No,Yes,No,No,0.027818625,4
1069,18,Female,Other,Some College,5.690239195,21,Yes,High,No,No,Yes,No,1.329964538,4
1070,16,Female,Asian,High School,0.941223958,1,No,Very High,No,No,Yes,No,3.283916522,1
1071,16,Male,African American,Some College,13.3709339,6,No,Moderate,Yes,No,No,No,2.937454182,2
1072,16,Female,African American,High School,17.25541555,28,No,High,No,No,Yes,Yes,0.738868203,4
